10:15:45,0,0,0,0,0,0,0,0,0,0,0
10:15:46,0,0,0,0,0,0,0,0,0,0,11
10:15:47,0,19,806582,571931,385633,324845,62860,126528,75120,41111,37
10:15:48,1,21,562139,311345,57315,47893,10321,30005,21970,11376,45
10:15:49,10,35,2233487,561454,215358,104632,88123,103742,84518,40481,62
10:15:50,27,50,2057730,107941,44978,44978,16075,24984,22401,6945,-5
10:15:51,17,34,182940,63076,2482,11704,999,4069,9282,1035,15
10:15:52,20,27,448664,373177,40404,9689,8243,35749,21544,6018,26
10:15:53,20,13,1367735,325067,15692,19814,11368,32996,13336,6172,74
10:15:54,10,1,924525,1100279,32348,21952,13896,79809,34663,31051,18
10:15:55,23,1,988420,235536,4580,20273,21996,39710,20998,7311,18
10:15:56,22,1,1538274,90783,50714,13699,22286,12332,43662,13552,103
10:15:57,16,20,148402,128391,76404,16295,11467,13751,4361,1426,-13
10:15:58,32,43,299741,56930,28579,21435,2795,17313,15604,3651,60
10:15:59,35,60,70390,13560,5807,3214,1355,3384,2158,502,60
10:16:00,43,64,1025033,91330,93085,44096,19297,33022,22639,5428,52
10:16:01,53,74,1117257,212032,278256,155349,44347,71636,64543,41453,28
10:16:02,29,53,850300,473360,30168,17747,15835,25215,30213,22822,35
10:16:03,40,50,2635279,161726,14707,50775,30104,69656,29458,11595,77
10:16:04,37,40,807103,188705,38074,28072,3773,28458,12319,4245,29
10:16:05,37,34,332812,119112,66489,26372,21206,23185,36364,20989,25
10:16:06,41,48,721237,202612,50649,42230,22547,19273,18228,10513,63
10:16:07,23,48,746057,215154,32549,33486,13082,25902,24068,8360,27
10:16:08,26,50,1330391,173086,28042,91829,80055,44031,40209,33772,46
10:16:09,29,42,1961357,780284,132870,104514,63897,122492,69292,15232,37
10:16:10,63,33,1490067,63452,11621,5676,14998,37669,16847,15526,69
10:16:11,69,27,438802,136384,13596,21399,6306,24199,17975,6390,39
10:16:12,63,29,863368,169874,87413,23165,4224,29851,57198,5803,27
10:16:13,48,21,657965,520890,15059,33208,9598,24257,20336,4847,-10
10:16:14,29,35,646366,20397,15439,2944,1244,6017,2135,5354,40
10:16:15,17,46,2520854,163465,68325,35888,6078,21956,11600,4930,20
10:16:16,10,29,839244,223629,33841,10495,7785,19575,11281,6741,51
10:16:17,29,55,1960471,127246,166956,77396,26226,61067,39264,23079,79
10:16:18,17,50,1757020,736679,186461,85478,36846,63805,54709,41269,46
10:16:19,22,38,658656,410688,58741,15261,43609,49479,20334,21964,159
10:16:20,39,53,697702,32768,19818,6103,7484,10237,8552,2032,36
10:16:21,34,42,603885,61777,14541,7079,4416,8157,6826,2585,28
10:16:22,38,38,1066565,634303,88177,54121,33842,57520,47800,6108,109
10:16:23,47,46,432093,72813,28120,10168,8699,19099,5922,4732,93
10:16:24,47,42,969972,212094,29899,49996,14342,45649,30813,11924,51
10:16:25,49,35,1482422,646756,70218,24432,16416,93687,79533,23971,0
10:16:26,69,44,408812,11464,4970,9182,2487,7802,3475,2027,14
10:16:27,69,57,444427,7761,9383,13325,728,5350,5394,1108,145
10:16:28,68,57,460733,12368,9607,13423,1009,5411,5579,1191,108
10:16:29,55,62,1207076,409756,55777,30273,17729,17205,26951,9144,54
10:16:30,24,52,1270593,1484670,263372,99355,39811,68335,100888,33009,64
10:16:31,7,40,788297,102030,39178,6066,1460,6970,10998,3104,-12
10:16:32,2,41,1897247,191735,73664,60867,6748,39422,23030,8266,41
10:16:33,13,48,430679,81590,44486,3919,17258,22294,22512,4206,69
10:16:34,24,49,299002,114102,28859,10951,9328,13165,7868,3976,10
10:16:35,37,47,931223,317756,75458,56181,32618,54465,36501,11026,64
10:16:36,35,44,128912,49910,6291,17104,2379,7629,5546,1858,-47
10:16:37,51,44,561750,43805,21054,15001,5815,31851,6478,3568,32
10:16:38,54,50,1580997,117417,62519,8041,10736,13636,7037,4453,16
10:16:39,44,48,430243,151072,31070,57547,17487,30756,33210,6756,63
10:16:40,47,52,1650315,517145,199410,270854,98170,171008,142440,43618,83
10:16:41,38,60,1333406,165919,260958,51222,57930,121655,60778,46065,66
10:16:42,45,59,960422,233311,88486,40236,16560,43519,18018,9775,58
10:16:43,53,51,2023726,309706,19381,31036,15966,39866,15129,18322,5
10:16:44,48,26,372863,142894,2197,5591,2420,14614,8725,3210,2
10:16:45,28,4,582649,356983,12494,17081,10997,21742,43305,11335,20
10:16:46,14,4,791906,245194,96366,33887,10704,18418,14894,10088,-6
10:16:47,14,13,2375501,115245,50810,14205,21353,18508,18916,7688,34
10:16:48,10,42,921023,106431,101371,63171,48267,23698,31657,28475,30
10:16:49,11,50,490813,190067,23969,35815,11457,17588,14600,12299,17
10:16:50,23,38,487114,163571,13976,6106,14719,20340,13510,7743,29
10:16:51,26,42,985058,60205,12921,41798,9897,16438,11668,11554,115
10:16:52,29,39,868585,112859,49906,41129,38181,26115,15745,15459,102
10:16:53,34,35,585006,218916,111387,33529,85930,42862,22837,21237,226
10:16:54,37,36,732217,343967,69454,45098,43583,50455,66681,16033,4
10:16:55,31,35,846367,865067,97310,72829,24413,41220,27799,8841,53
10:16:56,16,29,1458247,1325462,152040,154287,33295,46923,52212,22585,24
10:16:57,17,30,222771,103390,16478,13528,12552,14962,6520,12200,49
10:16:58,8,32,625212,218338,78838,15833,6946,19172,25130,7357,36
10:16:59,14,40,1383380,686908,259826,21333,15248,59044,65712,19160,-3
10:17:00,29,43,1006835,268977,50449,44227,20819,59819,22574,14441,45
10:17:01,39,39,1675679,484719,89428,84608,34771,171415,52325,24799,58
10:17:02,46,26,316642,77043,14677,7887,5180,11456,6621,4848,64
10:17:03,44,28,612494,134080,43159,29137,3986,13893,10613,8025,84
10:17:04,58,27,2659421,189819,23644,47430,33673,59507,30214,16810,29
10:17:05,43,30,976648,448818,108444,24120,59554,47452,46472,31970,48
10:17:06,42,39,435069,170205,13923,25371,16803,16774,22386,12999,2
10:17:07,43,30,988643,419953,30464,44271,45102,37681,62536,28430,18
10:17:08,34,29,854505,215137,36626,26156,22964,35309,69657,10623,23
10:17:09,31,25,450971,102454,14392,12243,12410,17385,18650,11022,38
10:17:10,36,20,1157931,238301,28529,33660,38187,47604,49147,28151,74
10:17:11,40,18,1247600,249700,10324,33561,30346,29470,33238,16394,44
10:17:12,40,26,1033392,103007,29455,31710,19613,22601,17264,7839,60
10:17:13,41,39,674180,40690,23107,8152,9940,6244,15339,8271,50
10:17:14,36,47,439441,41583,14529,13678,10048,7284,31544,3567,59
10:17:15,38,53,453377,242248,37819,18029,11208,24745,20176,12768,43
10:17:16,38,47,1371874,724742,141242,84343,66274,120886,96866,48772,-49
